FEATURE,EXPIRATION_DATE,INCREMENT,INCREMENT_EXPIRATION_DATE
"FEATURE abaqus_extended ABAQUSLM 62.5 30-apr-2024 1 \,",['27-apr-2023'],,
"FEATURE pydriver ABAQUSLM 62.5 30-apr-2024 2 VENDOR_STRING=commercial \,",['27-apr-2028'],,
"FEATURE abaqus ABAQUSLM 62.5 30-apr-2024 16 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE ams ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE aqua ABAQUSLM 62.5 30-apr-2024 16 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE cosim_acusolve ABAQUSLM 62.5 30-apr-2024 1 \,",['27-apr-2023'],,
"FEATURE cosim_direct ABAQUSLM 62.5 30-apr-2024 1 \,",['27-apr-2023'],,
"FEATURE cse ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE design ABAQUSLM 62.5 30-apr-2024 16 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE euler_lagrange ABAQUSLM 62.5 30-apr-2024 1 \,",['27-apr-2023'],,
"FEATURE gpgpu ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE multiphysics ABAQUSLM 62.5 30-apr-2024 1 \,",['27-apr-2023'],,
"FEATURE parallel ABAQUSLM 62.5 30-apr-2024 16384 \,",['27-apr-2023'],,
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",['27-apr-2023'],,
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT MATLAB MLM 51 01-jan-0000 36 3FD807AD70C3ED107D18 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT SIMULINK MLM 51 01-jan-0000 28 1FC817ED7678D189C981 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Aerospace_Blockset MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Aerospace_Toolbox MLM 51 01-jan-0000 1 CF68C77DAB0DFEA310B6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Communication_Toolbox MLM 51 01-jan-0000 2 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Video_and_Image_Blockset MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Control_Toolbox MLM 51 01-jan-0000 8 BF28D78D2D34F86744A8 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Curve_Fitting_Toolbox MLM 51 01-jan-0000 4 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Signal_Blocks MLM 51 01-jan-0000 6 1F08B75D8D7E50997D2C \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Data_Acq_Toolbox MLM 51 01-jan-0000 1 6FD8479DDE358C2C2D3C \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Database_Toolbox MLM 51 01-jan-0000 3 9F48175D3F5098E555C8 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Neural_Network_Toolbox MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT RTW_Embedded_Coder MLM 51 01-jan-0000 8 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Fixed_Point_Toolbox MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Fuzzy_Toolbox MLM 51 01-jan-0000 1 AFB8476D2DC4615EAF98 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Image_Toolbox MLM 51 01-jan-0000 12 6FD857AD17CF75B0A989 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT MATLAB_Coder MLM 51 01-jan-0000 8 0FE8074DE28F4C01CD03 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT MATLAB_Builder_for_Java MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Compiler MLM 51 01-jan-0000 1 BFA827ADAC1631584669 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT MATLAB_Report_Gen MLM 51 01-jan-0000 6 AF98872D6C42EA63A783 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT MAP_Toolbox MLM 51 01-jan-0000 14 CF28676D19FCCC3F65E7 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Optimization_Toolbox MLM 51 01-jan-0000 6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Distrib_Computing_Toolbox MLM 51 01-jan-0000 5 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Phased_Array_System_Toolbox MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Radar_Toolbox MLM 51 01-jan-0000 1 2F68E7AD4BE61CFD6FE7 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Simulink_Requirements MLM 51 01-jan-0000 6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Robust_Toolbox MLM 51 01-jan-0000 4 1FF8A77DAF89FC0E0E52 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Signal_Toolbox MLM 51 01-jan-0000 14 5F58270DB136CFA03DB0 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Power_System_Blocks MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT SimMechanics MLM 51 01-jan-0000 3 BFA807BD419E1819CF0E \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Simscape MLM 51 01-jan-0000 3 8F68A73D6725AB234708 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Virtual_Reality_Toolbox MLM 51 01-jan-0000 3 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT SL_Verification_Validation MLM 51 01-jan-0000 6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Real-Time_Workshop MLM 51 01-jan-0000 8 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Simulink_Control_Design MLM 51 01-jan-0000 8 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Simulink_Coverage MLM 51 01-jan-0000 6 0F08777D974E2E6BC0B7 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Simulink_Design_Optim MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT SIMULINK_Report_Gen MLM 51 01-jan-0000 6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Excel_Link MLM 51 01-jan-0000 2 FFF8071D245ED3DDB381 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Stateflow MLM 51 01-jan-0000 11 DF18076DA18F3FD3F2E3 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Statistics_Toolbox MLM 51 01-jan-0000 6 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Symbolic_Toolbox MLM 51 01-jan-0000 7 CFF837ADB877E80050A2 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Identification_Toolbox MLM 51 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Communication_Blocks MLM 24 01-jan-0000 1 \,",['29-Apr-2024']
"FEATURE tomee ABAQUSLM 62.5 30-apr-2024 1 VENDOR_STRING=commercial \,",,"INCREMENT Stateflow_Coder MLM 24 01-jan-0000 1 0F6877EDA5C6FF3F5E2B \,",['29-Apr-2024']
